序号,汉字,Unicode,Unicode十六进制,拼音首字母,笔画数估算
810,尔,23572,U+5C14,?,8-20
811,尖,23574,U+5C16,?,8-20
812,尚,23578,U+5C1A,?,8-20
813,尤,23588,U+5C24,?,8-20
814,尧,23591,U+5C27,?,8-20
815,居,23621,U+5C45,?,8-20
816,展,23637,U+5C55,?,8-20
817,屯,23663,U+5C6F,?,8-20
818,屿,23679,U+5C7F,?,8-20
819,岑,23697,U+5C91,?,8-20
820,岗,23703,U+5C97,?,8-20
821,岩,23721,U+5CA9,?,8-20
822,岳,23731,U+5CB3,?,8-20
823,岸,23736,U+5CB8,?,8-20
824,峙,23769,U+5CD9,?,8-20
825,峡,23777,U+5CE1,?,8-20
826,峪,23786,U+5CEA,?,8-20
827,崂,23810,U+5D02,?,8-20
828,崇,23815,U+5D07,?,8-20
829,崎,23822,U+5D0E,?,8-20
830,崖,23830,U+5D16,?,8-20
831,嵊,23882,U+5D4A,?,8-20
832,嵩,23913,U+5D69,?,8-20
833,巢,24034,U+5DE2,?,8-20
834,巨,24040,U+5DE8,?,8-20
835,巩,24041,U+5DE9,?,8-20
836,巴,24052,U+5DF4,?,8-20
837,市,24066,U+5E02,?,8-20
838,师,24072,U+5E08,?,8-20
839,帕,24085,U+5E15,?,8-20
840,帮,24110,U+5E2E,?,8-20
841,帽,24125,U+5E3D,?,8-20
842,幸,24184,U+5E78,?,8-20
843,庄,24196,U+5E84,?,8-20
844,庆,24198,U+5E86,?,8-20
845,庐,24208,U+5E90,?,8-20
846,库,24211,U+5E93,?,8-20
847,店,24215,U+5E97,?,8-20
848,庙,24217,U+5E99,?,8-20
849,府,24220,U+5E9C,?,8-20
850,康,24247,U+5EB7,?,8-20
851,延,24310,U+5EF6,?,8-20
852,建,24314,U+5EFA,?,8-20
853,弓,24339,U+5F13,?,8-20
854,弟,24351,U+5F1F,?,8-20
855,当,24403,U+5F53,?,8-20
856,征,24449,U+5F81,?,8-20
857,徒,24466,U+5F92,?,8-20
