序号,汉字,Unicode,Unicode十六进制,来源,出现次数
3524,甥,29989,U+7525,追加字库; 合并字库; GB2312,3
3525,用,29992,U+7528,追加字库; 合并字库; GB2312,3
3526,甩,29993,U+7529,追加字库; 合并字库; GB2312,3
3527,甪,29994,U+752A,合并字库,1
3528,甫,29995,U+752B,追加字库; 合并字库; GB2312,3
3529,甬,29996,U+752C,追加字库; 合并字库; GB2312,3
3530,甭,29997,U+752D,追加字库; 合并字库; GB2312,3
3531,甯,29999,U+752F,追加字库; 合并字库; GB2312,3
3532,田,30000,U+7530,合并字库; GB2312,2
3533,由,30001,U+7531,合并字库; GB2312,2
3534,甲,30002,U+7532,追加字库; 合并字库; GB2312,3
3535,申,30003,U+7533,追加字库; 合并字库; GB2312,3
3536,电,30005,U+7535,合并字库; GB2312,2
3537,男,30007,U+7537,追加字库; 合并字库; GB2312,3
3538,甸,30008,U+7538,合并字库; GB2312,2
3539,町,30010,U+753A,追加字库; 合并字库; GB2312,3
3540,画,30011,U+753B,合并字库; GB2312,2
3541,甾,30014,U+753E,追加字库; 合并字库; GB2312,3
3542,畀,30016,U+7540,追加字库; 合并字库; GB2312,3
3543,畅,30021,U+7545,追加字库; 合并字库; GB2312,3
3544,畈,30024,U+7548,追加字库; 合并字库; GB2312,3
3545,畋,30027,U+754B,追加字库; 合并字库; GB2312,3
3546,界,30028,U+754C,合并字库; GB2312,2
3547,畎,30030,U+754E,追加字库; 合并字库; GB2312,3
3548,畏,30031,U+754F,追加字库; 合并字库; GB2312,3
3549,畔,30036,U+7554,追加字库; 合并字库; GB2312,3
3550,留,30041,U+7559,追加字库; 合并字库; GB2312,3
3551,畚,30042,U+755A,追加字库; 合并字库; GB2312,3
3552,畛,30043,U+755B,追加字库; 合并字库; GB2312,3
3553,畜,30044,U+755C,追加字库; 合并字库; GB2312,3
3554,略,30053,U+7565,追加字库; 追加字库; 合并字库; GB2312,4
3555,畦,30054,U+7566,追加字库; 合并字库; GB2312,3
3556,番,30058,U+756A,合并字库; GB2312,2
3557,畲,30066,U+7572,追加字库; 合并字库; GB2312,3
3558,畴,30068,U+7574,追加字库; 合并字库; GB2312,3
3559,畸,30072,U+7578,追加字库; 合并字库; GB2312,3
3560,畹,30073,U+7579,追加字库; 合并字库; GB2312,3
3561,畿,30079,U+757F,追加字库; 合并字库; GB2312,3
3562,疃,30083,U+7583,追加字库; 合并字库; GB2312,3
3563,疆,30086,U+7586,合并字库; GB2312,2
3564,疋,30091,U+758B,追加字库; 合并字库; GB2312,3
3565,疏,30095,U+758F,合并字库; GB2312,2
3566,疑,30097,U+7591,追加字库; 合并字库; GB2312,3
3567,疒,30098,U+7592,追加字库; 合并字库; GB2312,3
3568,疔,30100,U+7594,追加字库; 合并字库; GB2312,3
3569,疖,30102,U+7596,追加字库; 合并字库; GB2312,3
3570,疗,30103,U+7597,合并字库; GB2312,2
3571,疙,30105,U+7599,追加字库; 合并字库; GB2312,3
3572,疚,30106,U+759A,追加字库; 合并字库; GB2312,3
3573,疝,30109,U+759D,追加字库; 合并字库; GB2312,3
3574,疟,30111,U+759F,追加字库; 合并字库; GB2312,3
3575,疠,30112,U+75A0,追加字库; 合并字库; GB2312,3
3576,疡,30113,U+75A1,追加字库; 合并字库; GB2312,3
3577,疣,30115,U+75A3,追加字库; 合并字库; GB2312,3
3578,疤,30116,U+75A4,追加字库; 合并字库; GB2312,3
3579,疥,30117,U+75A5,追加字库; 合并字库; GB2312,3
3580,疫,30123,U+75AB,追加字库; 合并字库; GB2312,3
3581,疬,30124,U+75AC,追加字库; 合并字库; GB2312,3
3582,疮,30126,U+75AE,追加字库; 合并字库; GB2312,3
3583,疯,30127,U+75AF,追加字库; 合并字库; GB2312,3
3584,疰,30128,U+75B0,追加字库; 合并字库; GB2312,3
3585,疱,30129,U+75B1,追加字库; 合并字库; GB2312,3
3586,疲,30130,U+75B2,追加字库; 合并字库; GB2312,3
3587,疳,30131,U+75B3,追加字库; 合并字库; GB2312,3
3588,疴,30132,U+75B4,追加字库; 合并字库; GB2312,3
3589,疵,30133,U+75B5,追加字库; 合并字库; GB2312,3
3590,疸,30136,U+75B8,追加字库; 合并字库; GB2312,3
3591,疹,30137,U+75B9,追加字库; 合并字库; GB2312,3
